date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Birmingham 015C,E01009461,1303,1176,1139,33,25,4,3,1,4,4,30,80,17,0,0
2021,Birmingham 015D,E01009463,1561,1415,1374,37,21,9,0,7,4,4,36,101,7,2,0
2021,Birmingham 016A,E01009235,1662,1387,1310,73,34,19,17,3,4,4,33,207,31,0,4
2021,Birmingham 016B,E01009243,1819,1574,1472,98,42,29,25,2,4,4,53,132,55,2,3
2021,Birmingham 016C,E01009245,1473,1244,1189,54,35,11,6,2,1,1,39,157,31,2,0
2021,Birmingham 016D,E01009246,1557,1379,1316,62,30,17,15,0,1,1,36,103,36,3,0
2021,Birmingham 016E,E01009247,1558,1354,1259,86,18,34,30,4,9,9,25,122,56,0,1
2021,Birmingham 017A,E01009226,1461,1337,1252,74,35,25,13,1,11,11,24,68,32,0,0
2021,Birmingham 017B,E01009229,1589,1454,1337,112,43,41,26,2,5,5,24,76,33,2,0
2021,Birmingham 017C,E01009230,1654,1500,1429,64,26,26,10,2,7,7,38,68,36,0,12
2021,Birmingham 017D,E01009231,1934,1717,1618,96,34,34,27,1,3,3,33,132,48,0,4
2021,Birmingham 018A,E01009001,1680,1581,1497,75,41,13,20,1,9,9,17,49,32,1,0
2021,Birmingham 018B,E01009003,1765,1598,1463,121,52,40,28,1,14,14,22,123,22,0,0
2021,Birmingham 018C,E01009456,1717,1669,1616,47,33,8,3,3,6,6,11,27,9,1,0
2021,Birmingham 018D,E01009458,1387,1298,1232,61,40,13,8,0,5,5,13,42,32,2,0
2021,Birmingham 018E,E01009460,1585,1475,1351,113,54,28,29,2,11,11,30,61,17,2,0
2021,Birmingham 018F,E01009462,1583,1498,1416,78,47,17,13,1,4,4,17,49,18,1,0
2021,Birmingham 019A,E01009234,1463,1358,1263,95,44,34,14,3,0,0,23,61,21,0,0
2021,Birmingham 019B,E01009236,1553,1344,1258,83,52,17,14,0,3,3,37,137,33,1,1
2021,Birmingham 019C,E01009244,1885,1679,1587,75,34,24,17,0,17,17,42,113,50,0,1
2021,Birmingham 019D,E01009248,1760,1602,1529,69,21,19,26,3,4,4,35,94,28,1,0
2021,Birmingham 020A,E01009403,1579,1377,1232,141,52,55,33,1,4,4,64,102,35,1,0
2021,Birmingham 020B,E01009404,1593,1372,1248,111,46,32,32,1,13,13,77,102,40,1,1
2021,Birmingham 020C,E01009405,1487,1313,1153,156,35,83,37,1,4,4,52,99,23,0,0
2021,Birmingham 020D,E01009406,1750,1533,1320,196,59,63,74,0,17,17,75,110,25,0,7
2021,Birmingham 020E,E01009407,1750,1499,1274,207,56,75,74,2,18,18,62,132,55,0,2
2021,Birmingham 021A,E01009439,1446,1381,1316,59,44,7,5,3,6,6,6,50,8,1,0
2021,Birmingham 021B,E01009441,1476,1410,1353,52,26,21,5,0,5,5,21,28,15,1,1
2021,Birmingham 021C,E01009442,1462,1375,1316,59,30,16,6,7,0,0,10,58,16,2,1
2021,Birmingham 021D,E01009443,1214,1123,1082,38,24,5,6,3,3,3,18,66,6,1,0
2021,Birmingham 022A,E01009123,1627,1329,1159,152,34,81,35,2,18,18,100,154,41,1,2
2021,Birmingham 022B,E01009124,2099,1619,1470,144,71,58,15,0,5,5,288,136,50,0,6
2021,Birmingham 022C,E01009125,2038,1693,1494,189,49,76,64,0,10,10,74,221,47,0,3
2021,Birmingham 022D,E01009232,1561,1351,1234,109,41,41,22,5,8,8,52,113,40,0,5
